temp,logg,feh,alpha,band,resolution,vsini,sampling,correctflag,quality,cond1,cond2,cond3
3900,4.5,0.0,0.0,Z,60k,1.0,3.0,0,3725,9.7,15.5,10.0
3900,4.5,0.0,0.0,Z,60k,5.0,3.0,0,2551,14.2,22.6,14.6
3900,4.5,0.0,0.0,Z,60k,10.0,3.0,0,1479,24.5,38.6,25.3
3900,4.5,0.0,0.0,J,60k,1.0,3.0,0,2154,15.7,41.7,16.6
3900,4.5,0.0,0.0,J,60k,5.0,3.0,0,1500,22.7,63.6,24.0
3900,4.5,0.0,0.0,J,60k,10.0,3.0,0,885,38.6,122.9,41.0
3900,4.5,0.0,0.0,H,60k,1.0,3.0,0,4391,7.2,11.4,7.4
3900,4.5,0.0,0.0,H,60k,5.0,3.0,0,3136,10.1,15.9,10.3
3900,4.5,0.0,0.0,H,60k,10.0,3.0,0,1819,17.5,27.3,17.9
3900,4.5,0.0,0.0,K,60k,1.0,3.0,0,3269,14.5,63.7,15.5
3900,4.5,0.0,0.0,K,60k,5.0,3.0,0,2195,21.7,90.3,23.2
3900,4.5,0.0,0.0,K,60k,10.0,3.0,0,1212,39.4,155.8,42.1
3900,4.5,0.0,0.0,Y,60k,1.0,3.0,0,4032,9.6,11.5,9.8
3900,4.5,0.0,0.0,Y,60k,5.0,3.0,0,2520,15.5,18.4,15.7
3900,4.5,0.0,0.0,Y,60k,10.0,3.0,0,1270,30.8,36.8,31.2
3900,4.5,0.0,0.0,Z,80k,1.0,3.0,0,4879,6.4,10.4,6.6
3900,4.5,0.0,0.0,Z,80k,5.0,3.0,0,2862,10.9,17.6,11.3
3900,4.5,0.0,0.0,Z,80k,10.0,3.0,0,1545,20.3,32.2,21.0
3900,4.5,0.0,0.0,J,80k,1.0,3.0,0,2788,10.5,26.9,11.0
3900,4.5,0.0,0.0,J,80k,5.0,3.0,0,1678,17.5,48.1,18.5
3900,4.5,0.0,0.0,J,80k,10.0,3.0,0,923,32.0,100.7,34.0
3900,4.5,0.0,0.0,H,80k,1.0,3.0,0,5417,5.0,8.0,5.1
3900,4.5,0.0,0.0,H,80k,5.0,3.0,0,3497,7.9,12.4,8.0
3900,4.5,0.0,0.0,H,80k,10.0,3.0,0,1901,14.5,22.7,14.9
3900,4.5,0.0,0.0,K,80k,1.0,3.0,0,4211,9.7,43.6,10.4
3900,4.5,0.0,0.0,K,80k,5.0,3.0,0,2486,16.6,70.0,17.7
3900,4.5,0.0,0.0,K,80k,10.0,3.0,0,1269,32.6,128.9,34.9
3900,4.5,0.0,0.0,Y,80k,1.0,3.0,0,5625,6.0,7.1,6.0
3900,4.5,0.0,0.0,Y,80k,5.0,3.0,0,2900,11.6,13.8,11.8
3900,4.5,0.0,0.0,Y,80k,10.0,3.0,0,1347,25.2,30.1,25.5
3900,4.5,0.0,0.0,Z,100k,1.0,3.0,0,5859,4.7,7.8,4.9
3900,4.5,0.0,0.0,Z,100k,5.0,3.0,0,3043,9.2,14.8,9.5
3900,4.5,0.0,0.0,Z,100k,10.0,3.0,0,1581,17.8,28.2,18.3
3900,4.5,0.0,0.0,J,100k,1.0,3.0,0,3326,7.9,19.6,8.3
3900,4.5,0.0,0.0,J,100k,5.0,3.0,0,1781,14.8,40.3,15.6
