temp,logg,feh,alpha,band,resolution,vsini,sampling,correctflag,quality,cond1,cond2,cond3
7000,4.5,0.0,0.0,Z,20k,1.0,3.0,0,999,48.0,74.3,49.6
7000,4.5,0.0,0.0,Z,20k,5.0,3.0,0,944,50.8,78.4,52.5
7000,4.5,0.0,0.0,Z,20k,10.0,3.0,0,808,59.4,91.1,61.4
7000,4.5,0.0,0.0,Z,20k,20.0,3.0,0,532,90.3,135.9,93.3
7000,4.5,0.0,0.0,J,20k,1.0,3.0,0,722,81.7,256.8,85.7
7000,4.5,0.0,0.0,J,20k,5.0,3.0,0,681,86.6,273.4,90.9
7000,4.5,0.0,0.0,J,20k,10.0,3.0,0,577,102.3,326.7,107.4
7000,4.5,0.0,0.0,J,20k,20.0,3.0,0,365,161.9,555.2,170.1
7000,4.5,0.0,0.0,H,20k,1.0,3.0,0,639,109.4,200.9,113.6
7000,4.5,0.0,0.0,H,20k,5.0,3.0,0,601,116.2,214.1,120.7
7000,4.5,0.0,0.0,H,20k,10.0,3.0,0,508,137.5,255.9,142.9
7000,4.5,0.0,0.0,H,20k,20.0,3.0,0,323,216.8,418.1,225.0
7000,4.5,0.0,0.0,K,20k,1.0,3.0,0,348,327.3,920.8,339.3
7000,4.5,0.0,0.0,K,20k,5.0,3.0,0,328,347.3,972.3,360.1
7000,4.5,0.0,0.0,K,20k,10.0,3.0,0,278,410.0,1129.6,425.4
7000,4.5,0.0,0.0,K,20k,20.0,3.0,0,177,644.3,1668.9,670.3
7000,4.5,0.0,0.0,Y,20k,1.0,3.0,0,862,68.8,90.2,69.9
7000,4.5,0.0,0.0,Y,20k,5.0,3.0,0,812,73.0,95.8,74.2
7000,4.5,0.0,0.0,Y,20k,10.0,3.0,0,688,86.2,113.7,87.6
7000,4.5,0.0,0.0,Y,20k,20.0,3.0,0,434,136.7,182.6,138.9
7000,4.5,0.0,0.0,Z,60k,1.0,3.0,0,2257,12.3,19.1,12.7
7000,4.5,0.0,0.0,Z,60k,5.0,3.0,0,1876,14.8,22.9,15.2
7000,4.5,0.0,0.0,Z,60k,10.0,3.0,0,1267,21.9,33.9,22.6
7000,4.5,0.0,0.0,Z,60k,20.0,3.0,0,638,43.5,66.2,44.9
7000,4.5,0.0,0.0,J,60k,1.0,3.0,0,1622,21.0,63.4,22.1
7000,4.5,0.0,0.0,J,60k,5.0,3.0,0,1361,25.0,76.1,26.3
7000,4.5,0.0,0.0,J,60k,10.0,3.0,0,924,36.9,114.4,38.7
7000,4.5,0.0,0.0,J,60k,20.0,3.0,0,446,76.5,261.1,80.4
7000,4.5,0.0,0.0,H,60k,1.0,3.0,0,1561,25.9,44.8,26.7
7000,4.5,0.0,0.0,H,60k,5.0,3.0,0,1267,31.8,56.1,32.9
7000,4.5,0.0,0.0,H,60k,10.0,3.0,0,823,49.0,88.6,50.8
7000,4.5,0.0,0.0,H,60k,20.0,3.0,0,397,101.9,192.9,105.7
7000,4.5,0.0,0.0,K,60k,1.0,3.0,0,834,78.8,243.1,81.9
7000,4.5,0.0,0.0,K,60k,5.0,3.0,0,682,96.3,294.6,99.9
7000,4.5,0.0,0.0,K,60k,10.0,3.0,0,446,147.1,433.5,152.5
7000,4.5,0.0,0.0,K,60k,20.0,3.0,0,217,302.9,802.5,315.6
7000,4.5,0.0,0.0,Y,60k,1.0,3.0,0,2016,17.0,22.0,17.2
7000,4.5,0.0,0.0,Y,60k,5.0,3.0,0,1667,20.5,26.6,20.8
7000,4.5,0.0,0.0,Y,60k,10.0,3.0,0,1104,31.0,40.3,31.5
7000,4.5,0.0,0.0,Y,60k,20.0,3.0,0,535,64.1,85.4,65.1
7000,4.5,0.0,0.0,Z,100k,1.0,3.0,0,2639,8.2,12.7,8.4
7000,4.5,0.0,0.0,Z,100k,5.0,3.0,0,2081,10.3,16.1,10.7
7000,4.5,0.0,0.0,Z,100k,10.0,3.0,0,1334,16.1,25.0,16.6
7000,4.5,0.0,0.0,Z,100k,20.0,3.0,0,650,33.1,50.4,34.1
7000,4.5,0.0,0.0,J,100k,1.0,3.0,0,1875,14.1,41.6,14.9
7000,4.5,0.0,0.0,J,100k,5.0,3.0,0,1504,17.6,52.5,18.5
7000,4.5,0.0,0.0,J,100k,10.0,3.0,0,974,27.1,82.6,28.5
7000,4.5,0.0,0.0,J,100k,20.0,3.0,0,456,58.0,194.2,61.0
7000,4.5,0.0,0.0,H,100k,1.0,3.0,0,1861,16.9,28.6,17.4
7000,4.5,0.0,0.0,H,100k,5.0,3.0,0,1423,22.0,38.3,22.7
7000,4.5,0.0,0.0,H,100k,10.0,3.0,0,871,35.9,64.7,37.2
7000,4.5,0.0,0.0,H,100k,20.0,3.0,0,406,77.2,145.6,80.0
7000,4.5,0.0,0.0,K,100k,1.0,3.0,0,984,52.0,158.6,54.0
7000,4.5,0.0,0.0,K,100k,5.0,3.0,0,764,66.8,203.5,69.4
7000,4.5,0.0,0.0,K,100k,10.0,3.0,0,471,108.0,319.0,111.9
7000,4.5,0.0,0.0,K,100k,20.0,3.0,0,222,229.4,607.9,239.1
7000,4.5,0.0,0.0,Y,100k,1.0,3.0,0,2359,11.3,14.6,11.4
7000,4.5,0.0,0.0,Y,100k,5.0,3.0,0,1856,14.3,18.5,14.5
7000,4.5,0.0,0.0,Y,100k,10.0,3.0,0,1166,22.8,29.5,23.1
7000,4.5,0.0,0.0,Y,100k,20.0,3.0,0,547,48.6,64.7,49.4
6500,4.5,0.0,0.0,Z,20k,1.0,3.0,0,1007,48.7,74.3,50.2
6500,4.5,0.0,0.0,Z,20k,5.0,3.0,0,949,51.7,78.6,53.3
6500,4.5,0.0,0.0,Z,20k,10.0,3.0,0,806,60.9,91.9,62.8
6500,4.5,0.0,0.0,Z,20k,20.0,3.0,0,528,93.1,137.3,96.0
6500,4.5,0.0,0.0,J,20k,1.0,3.0,0,717,82.0,255.3,86.6
6500,4.5,0.0,0.0,J,20k,5.0,3.0,0,676,87.1,272.3,91.9
6500,4.5,0.0,0.0,J,20k,10.0,3.0,0,572,102.9,327.0,108.6
6500,4.5,0.0,0.0,J,20k,20.0,3.0,0,366,161.4,554.8,170.1
6500,4.5,0.0,0.0,H,20k,1.0,3.0,0,742,91.4,159.7,94.6
6500,4.5,0.0,0.0,H,20k,5.0,3.0,0,698,97.1,170.2,100.6
6500,4.5,0.0,0.0,H,20k,10.0,3.0,0,591,114.8,203.3,119.0
6500,4.5,0.0,0.0,H,20k,20.0,3.0,0,381,178.6,329.8,185.3
6500,4.5,0.0,0.0,K,20k,1.0,3.0,0,382,288.2,866.0,299.6
