temp,band,vsini,resolution,cond1_aces,cond2_aces,cond3_aces,cond1_btsettl,cond2_btsettl,cond3_btsettl
3900,Z,1.0,60k,9.7,15.5,10.0,9.4,15.3,9.7
3900,Z,1.0,80k,6.4,10.4,6.6,6.6,10.7,6.8
3900,Z,1.0,100k,4.7,7.8,4.9,5.2,8.5,5.3
3900,Z,5.0,60k,14.2,22.6,14.6,13.0,21.0,13.4
3900,Z,5.0,80k,10.9,17.6,11.3,10.1,16.4,10.5
3900,Z,5.0,100k,9.2,14.8,9.5,8.6,13.9,8.9
3900,Z,10.0,60k,24.5,38.6,25.3,21.8,35.1,22.4
3900,Z,10.0,80k,20.3,32.2,21.0,18.1,29.2,18.7
3900,Z,10.0,100k,17.8,28.2,18.3,15.9,25.6,16.3
3900,Y,1.0,60k,9.6,11.5,9.8,12.5,15.0,12.7
3900,Y,1.0,80k,6.0,7.1,6.0,8.3,10.0,8.4
3900,Y,1.0,100k,4.2,5.1,4.3,6.3,7.5,6.3
3900,Y,5.0,60k,15.5,18.4,15.7,18.6,22.3,18.9
3900,Y,5.0,80k,11.6,13.8,11.8,14.3,17.0,14.4
3900,Y,5.0,100k,9.7,11.5,9.8,11.9,14.3,12.1
3900,Y,10.0,60k,30.8,36.8,31.2,34.8,41.6,35.2
3900,Y,10.0,80k,25.2,30.1,25.5,28.6,34.3,29.0
3900,Y,10.0,100k,21.8,26.0,22.1,24.9,29.9,25.2
3900,J,1.0,60k,15.7,41.7,16.6,16.2,45.6,17.1
3900,J,1.0,80k,10.5,26.9,11.0,11.5,31.4,12.2
3900,J,1.0,100k,7.9,19.6,8.3,9.2,24.4,9.7
3900,J,5.0,60k,22.7,63.6,24.0,21.8,65.6,23.1
3900,J,5.0,80k,17.5,48.1,18.5,17.1,50.2,18.2
3900,J,5.0,100k,14.8,40.3,15.6,14.6,42.1,15.4
3900,J,10.0,60k,38.6,122.9,41.0,35.4,122.3,37.7
3900,J,10.0,80k,32.0,100.7,34.0,29.5,100.5,31.4
3900,J,10.0,100k,28.0,87.6,29.8,25.9,87.5,27.6
3900,H,1.0,60k,7.2,11.4,7.4,7.6,11.9,7.8
3900,H,1.0,80k,5.0,8.0,5.1,5.4,8.4,5.5
3900,H,1.0,100k,4.0,6.3,4.0,4.2,6.6,4.3
3900,H,5.0,60k,10.1,15.9,10.3,10.8,16.8,11.0
3900,H,5.0,80k,7.9,12.4,8.0,8.3,13.1,8.5
3900,H,5.0,100k,6.6,10.5,6.8,7.0,11.0,7.2
3900,H,10.0,60k,17.5,27.3,17.9,18.8,29.4,19.2
3900,H,10.0,80k,14.5,22.7,14.9,15.6,24.4,16.0
3900,H,10.0,100k,12.7,19.9,13.0,13.6,21.3,14.0
3900,K,1.0,60k,14.5,63.7,15.5,13.7,63.2,14.6
3900,K,1.0,80k,9.7,43.6,10.4,9.6,45.2,10.3
3900,K,1.0,100k,7.4,33.6,8.0,7.6,36.1,8.1
3900,K,5.0,60k,21.7,90.3,23.2,19.4,85.4,20.8
3900,K,5.0,80k,16.6,70.0,17.7,15.0,67.0,16.1
3900,K,5.0,100k,13.9,59.2,14.8,12.6,56.9,13.5
3900,K,10.0,60k,39.4,155.8,42.1,34.2,142.8,36.6
3900,K,10.0,80k,32.6,128.9,34.9,28.4,118.5,30.4
3900,K,10.0,100k,28.5,112.5,30.5,24.8,104.0,26.6
3500,Z,1.0,60k,8.4,13.9,8.7,8.4,14.0,8.6
3500,Z,1.0,80k,5.2,8.8,5.4,5.6,9.4,5.7
3500,Z,1.0,100k,3.7,6.3,3.8,4.2,7.1,4.3
3500,Z,5.0,60k,13.2,21.3,13.6,12.3,20.1,12.7
3500,Z,5.0,80k,10.0,16.4,10.3,9.4,15.5,9.7
3500,Z,5.0,100k,8.3,13.6,8.6,7.9,13.0,8.2
3500,Z,10.0,60k,24.6,39.1,25.4,21.9,35.1,22.5
3500,Z,10.0,80k,20.3,32.4,20.9,18.1,29.1,18.6
3500,Z,10.0,100k,17.6,28.2,18.2,15.8,25.4,16.3
3500,Y,1.0,60k,8.5,10.1,8.6,11.3,13.3,11.4
3500,Y,1.0,80k,5.2,6.2,5.2,7.4,8.7,7.4
3500,Y,1.0,100k,3.6,4.3,3.7,5.5,6.5,5.5
3500,Y,5.0,60k,13.9,16.5,14.1,17.1,20.2,17.3
3500,Y,5.0,80k,10.4,12.3,10.5,13.0,15.3,13.1
3500,Y,5.0,100k,8.6,10.2,8.7,10.9,12.8,11.0
