temp,logg,feh,alpha,band,resolution,vsini,sampling,correctflag,quality,cond1,cond2,cond3
3900,4.5,0.0,0.0,Z,60k,1.0,3.0,0,3725,9.9,16.0,10.3
3900,4.5,0.0,0.0,Z,60k,5.0,3.0,0,2551,14.5,23.2,15.0
3900,4.5,0.0,0.0,Z,60k,10.0,3.0,0,1479,25.0,39.4,25.8
3900,4.5,0.0,0.0,Y,60k,1.0,3.0,0,4032,10.0,11.9,10.1
3900,4.5,0.0,0.0,Y,60k,5.0,3.0,0,2520,15.9,19.0,16.1
3900,4.5,0.0,0.0,Y,60k,10.0,3.0,0,1270,31.6,37.8,32.0
3900,4.5,0.0,0.0,J,60k,1.0,3.0,0,2154,15.7,41.7,16.6
3900,4.5,0.0,0.0,J,60k,5.0,3.0,0,1500,22.7,63.6,24.0
3900,4.5,0.0,0.0,J,60k,10.0,3.0,0,885,38.6,122.9,41.0
3900,4.5,0.0,0.0,H,60k,1.0,3.0,0,4391,7.3,11.5,7.4
3900,4.5,0.0,0.0,H,60k,5.0,3.0,0,3136,10.2,16.0,10.4
3900,4.5,0.0,0.0,H,60k,10.0,3.0,0,1819,17.5,27.3,17.9
3900,4.5,0.0,0.0,K,60k,1.0,3.0,0,3269,10.5,46.3,11.3
3900,4.5,0.0,0.0,K,60k,5.0,3.0,0,2195,15.7,65.4,16.8
3900,4.5,0.0,0.0,K,60k,10.0,3.0,0,1212,28.5,112.6,30.4
3900,4.5,0.0,0.0,Z,80k,1.0,3.0,0,4879,6.6,10.7,6.8
3900,4.5,0.0,0.0,Z,80k,5.0,3.0,0,2862,11.2,18.0,11.6
3900,4.5,0.0,0.0,Z,80k,10.0,3.0,0,1545,20.7,32.9,21.4
3900,4.5,0.0,0.0,Y,80k,1.0,3.0,0,5625,6.2,7.4,6.3
3900,4.5,0.0,0.0,Y,80k,5.0,3.0,0,2900,12.0,14.3,12.1
3900,4.5,0.0,0.0,Y,80k,10.0,3.0,0,1347,25.8,30.8,26.1
3900,4.5,0.0,0.0,J,80k,1.0,3.0,0,2788,10.5,26.9,11.0
3900,4.5,0.0,0.0,J,80k,5.0,3.0,0,1678,17.5,48.1,18.5
3900,4.5,0.0,0.0,J,80k,10.0,3.0,0,923,32.0,100.7,34.0
3900,4.5,0.0,0.0,H,80k,1.0,3.0,0,5417,5.1,8.1,5.2
3900,4.5,0.0,0.0,H,80k,5.0,3.0,0,3497,7.9,12.5,8.1
3900,4.5,0.0,0.0,H,80k,10.0,3.0,0,1901,14.5,22.7,14.8
3900,4.5,0.0,0.0,K,80k,1.0,3.0,0,4211,7.1,31.8,7.6
3900,4.5,0.0,0.0,K,80k,5.0,3.0,0,2486,12.0,50.8,12.8
3900,4.5,0.0,0.0,K,80k,10.0,3.0,0,1269,23.6,93.1,25.2
3900,4.5,0.0,0.0,Z,100k,1.0,3.0,0,5859,4.9,8.1,5.1
3900,4.5,0.0,0.0,Z,100k,5.0,3.0,0,3043,9.4,15.2,9.7
3900,4.5,0.0,0.0,Z,100k,10.0,3.0,0,1581,18.1,28.8,18.7
3900,4.5,0.0,0.0,Y,100k,1.0,3.0,0,7067,4.4,5.3,4.5
3900,4.5,0.0,0.0,Y,100k,5.0,3.0,0,3127,10.0,11.8,10.1
3900,4.5,0.0,0.0,Y,100k,10.0,3.0,0,1391,22.4,26.7,22.6
3900,4.5,0.0,0.0,J,100k,1.0,3.0,0,3326,7.9,19.6,8.3
3900,4.5,0.0,0.0,J,100k,5.0,3.0,0,1781,14.8,40.3,15.6
3900,4.5,0.0,0.0,J,100k,10.0,3.0,0,944,28.0,87.6,29.8
3900,4.5,0.0,0.0,H,100k,1.0,3.0,0,6149,4.0,6.4,4.1
3900,4.5,0.0,0.0,H,100k,5.0,3.0,0,3702,6.7,10.5,6.8
3900,4.5,0.0,0.0,H,100k,10.0,3.0,0,1943,12.7,19.8,13.0
3900,4.5,0.0,0.0,K,100k,1.0,3.0,0,4916,5.4,24.5,5.8
3900,4.5,0.0,0.0,K,100k,5.0,3.0,0,2654,10.1,42.9,10.8
3900,4.5,0.0,0.0,K,100k,10.0,3.0,0,1300,20.6,81.2,22.0
3500,4.5,0.0,0.0,Z,60k,1.0,3.0,0,4552,8.3,13.7,8.6
3500,4.5,0.0,0.0,Z,60k,5.0,3.0,0,2922,12.9,20.9,13.3
3500,4.5,0.0,0.0,Z,60k,10.0,3.0,0,1570,24.0,38.1,24.8
3500,4.5,0.0,0.0,Y,60k,1.0,3.0,0,4637,8.7,10.3,8.8
3500,4.5,0.0,0.0,Y,60k,5.0,3.0,0,2844,14.1,16.7,14.3
3500,4.5,0.0,0.0,Y,60k,10.0,3.0,0,1408,28.5,33.9,28.8
3500,4.5,0.0,0.0,J,60k,1.0,3.0,0,2230,15.1,38.4,15.9
3500,4.5,0.0,0.0,J,60k,5.0,3.0,0,1503,22.5,60.2,23.8
3500,4.5,0.0,0.0,J,60k,10.0,3.0,0,853,39.9,117.8,42.4
3500,4.5,0.0,0.0,H,60k,1.0,3.0,0,4181,7.6,12.2,7.8
3500,4.5,0.0,0.0,H,60k,5.0,3.0,0,3037,10.5,16.7,10.7
3500,4.5,0.0,0.0,H,60k,10.0,3.0,0,1802,17.6,28.0,18.1
3500,4.5,0.0,0.0,K,60k,1.0,3.0,0,3464,9.9,35.8,10.6
3500,4.5,0.0,0.0,K,60k,5.0,3.0,0,2319,14.8,52.3,15.8
3500,4.5,0.0,0.0,K,60k,10.0,3.0,0,1266,27.2,92.1,29.1
3500,4.5,0.0,0.0,Z,80k,1.0,3.0,0,6305,5.2,8.7,5.4
3500,4.5,0.0,0.0,Z,80k,5.0,3.0,0,3333,9.8,16.0,10.1
3500,4.5,0.0,0.0,Z,80k,10.0,3.0,0,1653,19.7,31.5,20.4
3500,4.5,0.0,0.0,Y,80k,1.0,3.0,0,6564,5.3,6.3,5.4
3500,4.5,0.0,0.0,Y,80k,5.0,3.0,0,3288,10.6,12.5,10.7
3500,4.5,0.0,0.0,Y,80k,10.0,3.0,0,1497,23.2,27.6,23.5
3500,4.5,0.0,0.0,J,80k,1.0,3.0,0,2973,9.8,24.0,10.3
3500,4.5,0.0,0.0,J,80k,5.0,3.0,0,1695,17.3,45.4,18.3
3500,4.5,0.0,0.0,J,80k,10.0,3.0,0,893,33.0,96.4,35.1
3500,4.5,0.0,0.0,H,80k,1.0,3.0,0,5125,5.4,8.7,5.5
3500,4.5,0.0,0.0,H,80k,5.0,3.0,0,3369,8.2,13.1,8.4
3500,4.5,0.0,0.0,H,80k,10.0,3.0,0,1881,14.6,23.3,15.0
3500,4.5,0.0,0.0,K,80k,1.0,3.0,0,4495,6.6,24.0,7.0
3500,4.5,0.0,0.0,K,80k,5.0,3.0,0,2629,11.3,40.2,12.1
3500,4.5,0.0,0.0,K,80k,10.0,3.0,0,1328,22.5,76.0,24.0
3500,4.5,0.0,0.0,Z,100k,1.0,3.0,0,7937,3.7,6.3,3.8
3500,4.5,0.0,0.0,Z,100k,5.0,3.0,0,3579,8.2,13.4,8.5
3500,4.5,0.0,0.0,Z,100k,10.0,3.0,0,1701,17.2,27.5,17.7
3500,4.5,0.0,0.0,Y,100k,1.0,3.0,0,8336,3.7,4.5,3.8
3500,4.5,0.0,0.0,Y,100k,5.0,3.0,0,3554,8.8,10.4,8.9
3500,4.5,0.0,0.0,Y,100k,10.0,3.0,0,1549,20.1,23.9,20.3
3500,4.5,0.0,0.0,J,100k,1.0,3.0,0,3638,7.1,17.1,7.5
3500,4.5,0.0,0.0,J,100k,5.0,3.0,0,1808,14.5,37.8,15.3
3500,4.5,0.0,0.0,J,100k,10.0,3.0,0,915,28.8,83.7,30.6
3500,4.5,0.0,0.0,H,100k,1.0,3.0,0,5815,4.2,6.9,4.3
3500,4.5,0.0,0.0,H,100k,5.0,3.0,0,3556,6.9,11.1,7.1
3500,4.5,0.0,0.0,H,100k,10.0,3.0,0,1922,12.8,20.4,13.1
3500,4.5,0.0,0.0,K,100k,1.0,3.0,0,5289,5.0,18.2,5.3
3500,4.5,0.0,0.0,K,100k,5.0,3.0,0,2808,9.5,33.8,10.1
3500,4.5,0.0,0.0,K,100k,10.0,3.0,0,1362,19.6,66.3,20.9
2800,4.5,0.0,0.0,Z,60k,1.0,3.0,0,11017,3.8,7.3,3.9
2800,4.5,0.0,0.0,Z,60k,5.0,3.0,0,6769,6.1,11.6,6.4
2800,4.5,0.0,0.0,Z,60k,10.0,3.0,0,3393,12.2,22.8,12.7
2800,4.5,0.0,0.0,Y,60k,1.0,3.0,0,7230,5.6,7.1,5.7
2800,4.5,0.0,0.0,Y,60k,5.0,3.0,0,4923,8.3,10.1,8.4
2800,4.5,0.0,0.0,Y,60k,10.0,3.0,0,2963,13.8,16.4,13.9
2800,4.5,0.0,0.0,J,60k,1.0,3.0,0,3704,8.8,23.2,9.3
2800,4.5,0.0,0.0,J,60k,5.0,3.0,0,2448,13.5,35.9,14.3
2800,4.5,0.0,0.0,J,60k,10.0,3.0,0,1382,24.3,63.8,25.7
2800,4.5,0.0,0.0,H,60k,1.0,3.0,0,4840,6.5,12.6,6.8
2800,4.5,0.0,0.0,H,60k,5.0,3.0,0,3320,9.6,18.3,9.9
2800,4.5,0.0,0.0,H,60k,10.0,3.0,0,1860,17.2,33.5,17.8
2800,4.5,0.0,0.0,K,60k,1.0,3.0,0,5415,6.3,20.8,6.7
2800,4.5,0.0,0.0,K,60k,5.0,3.0,0,3634,9.5,30.4,10.1
2800,4.5,0.0,0.0,K,60k,10.0,3.0,0,1981,17.5,53.7,18.7
2800,4.5,0.0,0.0,Z,80k,1.0,3.0,0,15694,2.3,4.5,2.4
2800,4.5,0.0,0.0,Z,80k,5.0,3.0,0,7823,4.6,8.8,4.8
2800,4.5,0.0,0.0,Z,80k,10.0,3.0,0,3603,9.9,18.7,10.4
2800,4.5,0.0,0.0,Y,80k,1.0,3.0,0,9691,3.6,4.7,3.7
2800,4.5,0.0,0.0,Y,80k,5.0,3.0,0,5512,6.4,7.9,6.5
2800,4.5,0.0,0.0,Y,80k,10.0,3.0,0,3086,11.4,13.7,11.6
2800,4.5,0.0,0.0,J,80k,1.0,3.0,0,5028,5.5,14.4,5.8
