id	prec1	prec2	prec3
M0-Z-1.0-60k	  9.0	 14.8	  9.3
M0-Z-1.0-80k	  6.0	  9.9	  6.2
M0-Z-1.0-100k	  4.5	  7.5	  4.6
M0-Z-5.0-60k	 13.7	 22.3	 14.2
M0-Z-5.0-80k	 10.7	 17.4	 11.0
M0-Z-5.0-100k	  9.0	 14.7	  9.3
M0-Z-10.0-60k	 24.2	 38.7	 25.0
M0-Z-10.0-80k	 20.2	 32.2	 20.8
M0-Z-10.0-100k	 17.7	 28.2	 18.2
M0-Y-1.0-60k	  8.8	 10.5	  8.9
M0-Y-1.0-80k	  5.4	  6.5	  5.5
M0-Y-1.0-100k	  3.8	  4.6	  3.9
M0-Y-5.0-60k	 14.8	 17.6	 14.9
M0-Y-5.0-80k	 11.2	 13.3	 11.3
M0-Y-5.0-100k	  9.2	 11.0	  9.3
M0-Y-10.0-60k	 30.1	 36.0	 30.5
M0-Y-10.0-80k	 24.5	 29.3	 24.8
M0-Y-10.0-100k	 21.0	 25.1	 21.2
M0-J-1.0-60k	 14.7	 38.8	 15.5
M0-J-1.0-80k	  9.8	 25.1	 10.4
M0-J-1.0-100k	  7.4	 18.5	  7.8
M0-J-5.0-60k	 21.9	 61.2	 23.1
M0-J-5.0-80k	 17.0	 47.2	 18.0
M0-J-5.0-100k	 14.4	 39.4	 15.2
M0-J-10.0-60k	 37.9	120.2	 40.3
M0-J-10.0-80k	 31.5	 99.1	 33.5
M0-J-10.0-100k	 27.6	 86.2	 29.3
M0-H-1.0-60k	  6.8	 10.8	  6.9
M0-H-1.0-80k	  4.8	  7.6	  4.9
M0-H-1.0-100k	  3.8	  6.0	  3.9
M0-H-5.0-60k	  9.8	 15.6	 10.0
M0-H-5.0-80k	  7.6	 12.1	  7.8
M0-H-5.0-100k	  6.5	 10.3	  6.6
M0-H-10.0-60k	 17.2	 27.2	 17.6
M0-H-10.0-80k	 14.3	 22.5	 14.6
M0-H-10.0-100k	 12.5	 19.6	 12.8
M0-K-1.0-60k	 13.6	 60.1	 14.5
M0-K-1.0-80k	  9.2	 41.5	  9.8
M0-K-1.0-100k	  7.1	 32.0	  7.6
M0-K-5.0-60k	 20.9	 88.1	 22.4
M0-K-5.0-80k	 16.1	 68.8	 17.2
M0-K-5.0-100k	 13.6	 58.0	 14.5
M0-K-10.0-60k	 38.8	155.8	 41.5
M0-K-10.0-80k	 32.2	128.7	 34.4
M0-K-10.0-100k	 28.2	112.4	 30.1
M3-Z-1.0-60k	  7.7	 13.1	  8.0
M3-Z-1.0-80k	  4.8	  8.2	  5.0
M3-Z-1.0-100k	  3.5	  5.9	  3.6
M3-Z-5.0-60k	 12.7	 21.0	 13.1
M3-Z-5.0-80k	  9.7	 16.1	 10.1
M3-Z-5.0-100k	  8.2	 13.5	  8.4
M3-Z-10.0-60k	 24.3	 39.0	 25.1
M3-Z-10.0-80k	 20.1	 32.3	 20.7
M3-Z-10.0-100k	 17.5	 28.1	 18.1
M3-Y-1.0-60k	  7.7	  9.2	  7.8
M3-Y-1.0-80k	  4.7	  5.6	  4.7
M3-Y-1.0-100k	  3.3	  3.9	  3.3
M3-Y-5.0-60k	 13.2	 15.7	 13.4
M3-Y-5.0-80k	 10.0	 11.8	 10.1
M3-Y-5.0-100k	  8.2	  9.7	  8.3
M3-Y-10.0-60k	 27.5	 32.8	 27.8
M3-Y-10.0-80k	 22.4	 26.6	 22.6
M3-Y-10.0-100k	 19.1	 22.8	 19.3
M3-J-1.0-60k	 14.0	 35.7	 14.8
M3-J-1.0-80k	  9.1	 22.3	  9.6
M3-J-1.0-100k	  6.6	 16.0	  7.0
M3-J-5.0-60k	 21.7	 58.0	 23.0
M3-J-5.0-80k	 16.8	 44.4	 17.7
M3-J-5.0-100k	 14.1	 37.0	 14.9
M3-J-10.0-60k	 39.2	115.4	 41.6
M3-J-10.0-80k	 32.5	 94.9	 34.5
M3-J-10.0-100k	 28.3	 82.3	 30.1
M3-H-1.0-60k	  7.3	 11.9	  7.5
M3-H-1.0-80k	  5.2	  8.4	  5.3
M3-H-1.0-100k	  4.1	  6.6	  4.2
M3-H-5.0-60k	 10.3	 16.7	 10.6
M3-H-5.0-80k	  8.1	 13.1	  8.3
M3-H-5.0-100k	  6.9	 11.1	  7.1
M3-H-10.0-60k	 17.8	 28.6	 18.2
M3-H-10.0-80k	 14.8	 23.7	 15.2
M3-H-10.0-100k	 12.9	 20.7	 13.3
M3-K-1.0-60k	 12.6	 46.1	 13.5
M3-K-1.0-80k	  8.5	 31.0	  9.0
