,Temp,logg,[Fe/H],Alpha,Band,Resolution,vsini,Sampling,Quality,Cond. 1,Cond. 2,Cond. 3,correct flag
345,4200,4.5,-1.0,0.0,Z,100000,1.0,3.0,3546.0,7.6,12.4,7.9,0
348,4200,4.5,-1.0,0.0,J,100000,1.0,3.0,1778.0,14.9,64.3,15.8,0
351,4200,4.5,-1.0,0.0,H,100000,1.0,3.0,2896.0,8.7,14.7,9.0,0
354,4200,4.5,-1.0,0.0,K,100000,1.0,3.0,2743.0,14.1,67.7,15.2,0
357,4200,4.5,-1.0,0.0,Y,100000,1.0,3.0,3341.0,8.9,10.5,9.0,0
405,4200,4.5,-0.5,0.0,Z,100000,1.0,3.0,4925.0,5.5,9.3,5.7,0
408,4200,4.5,-0.5,0.0,J,100000,1.0,3.0,2623.0,10.1,33.7,10.7,0
411,4200,4.5,-0.5,0.0,H,100000,1.0,3.0,4627.0,5.4,9.1,5.5,0
414,4200,4.5,-0.5,0.0,K,100000,1.0,3.0,4151.0,9.2,44.5,9.9,0
417,4200,4.5,-0.5,0.0,Y,100000,1.0,3.0,5076.0,5.9,7.0,6.0,0
465,4200,4.5,0.0,0.0,Z,100000,1.0,3.0,6325.0,4.4,7.6,4.5,0
468,4200,4.5,0.0,0.0,J,100000,1.0,3.0,3595.0,7.4,20.9,7.8,0
471,4200,4.5,0.0,0.0,H,100000,1.0,3.0,6377.0,3.9,6.6,4.0,0
474,4200,4.5,0.0,0.0,K,100000,1.0,3.0,5437.0,7.0,33.4,7.6,0
477,4200,4.5,0.0,0.0,Y,100000,1.0,3.0,6836.0,4.4,5.3,4.5,0
525,4200,4.5,0.5,0.0,Z,100000,1.0,3.0,7816.0,3.6,6.3,3.7,0
528,4200,4.5,0.5,0.0,J,100000,1.0,3.0,4603.0,5.8,15.4,6.1,0
531,4200,4.5,0.5,0.0,H,100000,1.0,3.0,7928.0,3.2,5.4,3.3,0
534,4200,4.5,0.5,0.0,K,100000,1.0,3.0,6501.0,6.0,25.8,6.4,0
537,4200,4.5,0.5,0.0,Y,100000,1.0,3.0,8206.0,3.7,4.5,3.8,0
585,4200,4.5,1.0,0.0,Z,100000,1.0,3.0,9501.0,3.0,5.3,3.1,0
588,4200,4.5,1.0,0.0,J,100000,1.0,3.0,5670.0,4.8,12.3,5.0,0
591,4200,4.5,1.0,0.0,H,100000,1.0,3.0,9122.0,2.8,4.8,2.9,0
594,4200,4.5,1.0,0.0,K,100000,1.0,3.0,7263.0,5.5,21.1,5.8,0
597,4200,4.5,1.0,0.0,Y,100000,1.0,3.0,8997.0,3.4,4.2,3.5,0
1545,3900,4.5,-1.0,0.0,Z,100000,1.0,3.0,3766.0,7.4,12.0,7.6,0
1548,3900,4.5,-1.0,0.0,J,100000,1.0,3.0,1919.0,13.8,47.7,14.6,0
1551,3900,4.5,-1.0,0.0,H,100000,1.0,3.0,3228.0,7.9,13.2,8.1,0
1554,3900,4.5,-1.0,0.0,K,100000,1.0,3.0,2750.0,13.8,61.7,14.8,0
1557,3900,4.5,-1.0,0.0,Y,100000,1.0,3.0,4536.0,6.6,7.8,6.7,0
1605,3900,4.5,-0.5,0.0,Z,100000,1.0,3.0,4926.0,5.7,9.4,5.9,0
1608,3900,4.5,-0.5,0.0,J,100000,1.0,3.0,2677.0,9.9,29.5,10.4,0
1611,3900,4.5,-0.5,0.0,H,100000,1.0,3.0,4756.0,5.3,8.9,5.5,0
1614,3900,4.5,-0.5,0.0,K,100000,1.0,3.0,3963.0,9.5,43.1,10.2,0
1617,3900,4.5,-0.5,0.0,Y,100000,1.0,3.0,6037.0,5.0,5.9,5.1,0
1665,3900,4.5,0.0,0.0,Z,100000,1.0,3.0,6179.0,4.6,7.8,4.8,0
1668,3900,4.5,0.0,0.0,J,100000,1.0,3.0,3501.0,7.6,20.2,8.0,0
1671,3900,4.5,0.0,0.0,H,100000,1.0,3.0,6368.0,3.9,6.5,4.0,0
1674,3900,4.5,0.0,0.0,K,100000,1.0,3.0,5127.0,7.3,32.7,7.8,0
1677,3900,4.5,0.0,0.0,Y,100000,1.0,3.0,7534.0,4.1,4.8,4.1,0
1725,3900,4.5,0.5,0.0,Z,100000,1.0,3.0,8750.0,3.3,5.9,3.5,0
1728,3900,4.5,0.5,0.0,J,100000,1.0,3.0,4560.0,5.9,14.9,6.2,0
1731,3900,4.5,0.5,0.0,H,100000,1.0,3.0,8198.0,3.0,5.1,3.1,0
1734,3900,4.5,0.5,0.0,K,100000,1.0,3.0,6396.0,5.9,24.9,6.3,0
1737,3900,4.5,0.5,0.0,Y,100000,1.0,3.0,9255.0,3.4,4.0,3.4,0
1785,3900,4.5,1.0,0.0,Z,100000,1.0,3.0,12206.0,2.5,4.6,2.6,0
1788,3900,4.5,1.0,0.0,J,100000,1.0,3.0,5531.0,4.9,12.3,5.1,0
1791,3900,4.5,1.0,0.0,H,100000,1.0,3.0,9514.0,2.7,4.5,2.7,0
1794,3900,4.5,1.0,0.0,K,100000,1.0,3.0,7321.0,5.2,20.5,5.6,0
1797,3900,4.5,1.0,0.0,Y,100000,1.0,3.0,10039.0,3.1,3.8,3.2,0
2745,3500,4.5,-1.0,0.0,Z,100000,1.0,3.0,5364.0,5.5,8.9,5.7,0
2748,3500,4.5,-1.0,0.0,J,100000,1.0,3.0,3042.0,8.8,21.7,9.2,0
2751,3500,4.5,-1.0,0.0,H,100000,1.0,3.0,3240.0,7.9,13.8,8.2,0
